ID;fmeaId;workCenterId;materialId;description
00000100-0000-0000-0000-000000000001;FMEA-MILL-2024;WC-MILL-07;MAT-10247;Process FMEA for CNC Milling Operations (Flange & Pocket Machining)
00000100-0000-0000-0000-000000000002;FMEA-BROACH-2024;WC-BROACH-01;MAT-11500;Process FMEA for Sprocket Hub Broaching & Bore Deburring
00000100-0000-0000-0000-000000000003;FMEA-CAST-2024;WC-CAST-03;MAT-10318;Process FMEA for Aluminium High Pressure Die Casting
00000100-0000-0000-0000-000000000004;FMEA-TURN-2024;WC-TURN-02;MAT-10402;Process FMEA for CNC Lathe Shaft Turning & Finish Tolerance
00000100-0000-0000-0000-000000000005;FMEA-COAT-2024;WC-COAT-05;MAT-10555;Process FMEA for Electrostatic Powder Coating & Curing
00000100-0000-0000-0000-000000000006;FMEA-ASSY-2024;WC-ASSY-08;MAT-10611;Process FMEA for Gearbox End Cap Automated Torque Assembly
00000100-0000-0000-0000-000000000007;FMEA-BOND-2024;WC-BOND-02;MAT-10744;Process FMEA for Structural Adhesive Dispensing & Curing
00000100-0000-0000-0000-000000000008;FMEA-GRIND-2024;WC-GRIND-04;MAT-10820;Process FMEA for Cylindrical Grinding & Surface Finish
00000100-0000-0000-0000-000000000009;FMEA-PRESS-2024;WC-PRESS-09;MAT-11002;Process FMEA for Progressive Stamping, Forming & Annealing
00000100-0000-0000-0000-000000000010;FMEA-MILL11-2024;WC-MILL-11;MAT-11130;Process FMEA for Bearing Cap High-Precision Boring
00000100-0000-0000-0000-000000000011;FMEA-PAINT-2024;WC-PAINT-03;MAT-11388;Process FMEA for Automotive Trim Robotic Painting & Gloss
00000100-0000-0000-0000-000000000012;FMEA-TEST-2024;WC-TEST-03;MAT-88410;Process FMEA for High-Pressure Fuel Regulator Leak & Pressure Testing
