ID;lotId;materialId;characteristic;equipment;measuredValue;unit;conforming;lotDate;plant
00000001-0000-0000-0000-000000000001;0010000001;MAT-10247;Flange burr height;WC-MILL-07-F1;0.32 mm;mm;false;2026-02-10;1000
00000001-0000-0000-0000-000000000002;0010000002;MAT-10247;Flange burr height;WC-MILL-07-F1;0.32 mm;mm;false;2026-02-11;1000
00000001-0000-0000-0000-000000000003;0010000003;MAT-10247;Flange burr height;WC-MILL-07-F1;0.32 mm;mm;false;2026-02-12;1000
00000001-0000-0000-0000-000000000004;0010000004;MAT-10247;Flange burr height;WC-MILL-07-F2;0.04 mm;mm;true;2026-02-05;1000
00000001-0000-0000-0000-000000000005;0010000005;MAT-10247;Flange burr height;WC-MILL-07-F2;0.04 mm;mm;true;2026-02-06;1000
00000001-0000-0000-0000-000000000006;0010000006;MAT-10247;Flange burr height;WC-MILL-07-F2;0.04 mm;mm;true;2026-02-07;1000
00000001-0000-0000-0000-000000000007;0010000007;MAT-10247;Pocket depth;WC-MILL-07-F1;12.84 mm;mm;false;2026-02-10;1000
00000001-0000-0000-0000-000000000008;0010000008;MAT-10247;Pocket depth;WC-MILL-07-F1;12.84 mm;mm;false;2026-02-11;1000
00000001-0000-0000-0000-000000000009;0010000009;MAT-10247;Pocket depth;WC-MILL-07-F1;12.84 mm;mm;false;2026-02-12;1000
00000001-0000-0000-0000-000000000010;0010000010;MAT-10247;Pocket depth;WC-MILL-07-F2;13.00 mm;mm;true;2026-02-05;1000
00000001-0000-0000-0000-000000000011;0010000011;MAT-10247;Pocket depth;WC-MILL-07-F2;13.00 mm;mm;true;2026-02-06;1000
00000001-0000-0000-0000-000000000012;0010000012;MAT-10247;Pocket depth;WC-MILL-07-F2;13.00 mm;mm;true;2026-02-07;1000
00000002-0000-0000-0000-000000000013;0010000013;MAT-11500;Ridge height at bore mouth;WC-BROACH-01-B1;0.25 mm;mm;false;2026-02-10;1000
00000002-0000-0000-0000-000000000014;0010000014;MAT-11500;Ridge height at bore mouth;WC-BROACH-01-B1;0.25 mm;mm;false;2026-02-11;1000
00000002-0000-0000-0000-000000000015;0010000015;MAT-11500;Ridge height at bore mouth;WC-BROACH-01-B1;0.25 mm;mm;false;2026-02-12;1000
00000002-0000-0000-0000-000000000016;0010000016;MAT-11500;Ridge height at bore mouth;WC-BROACH-01-B2;0.02 mm;mm;true;2026-02-05;1000
00000002-0000-0000-0000-000000000017;0010000017;MAT-11500;Ridge height at bore mouth;WC-BROACH-01-B2;0.02 mm;mm;true;2026-02-06;1000
00000002-0000-0000-0000-000000000018;0010000018;MAT-11500;Ridge height at bore mouth;WC-BROACH-01-B2;0.02 mm;mm;true;2026-02-07;1000
00000003-0000-0000-0000-000000000019;0010000019;MAT-10318;Porosity area ratio;WC-CAST-03-DIE1;12.5 %;%;false;2026-02-10;1000
00000003-0000-0000-0000-000000000020;0010000020;MAT-10318;Porosity area ratio;WC-CAST-03-DIE1;12.5 %;%;false;2026-02-11;1000
00000003-0000-0000-0000-000000000021;0010000021;MAT-10318;Porosity area ratio;WC-CAST-03-DIE1;12.5 %;%;false;2026-02-12;1000
00000003-0000-0000-0000-000000000022;0010000022;MAT-10318;Porosity area ratio;WC-CAST-03-DIE2;2.2 %;%;true;2026-02-05;1000
00000003-0000-0000-0000-000000000023;0010000023;MAT-10318;Porosity area ratio;WC-CAST-03-DIE2;2.2 %;%;true;2026-02-06;1000
00000003-0000-0000-0000-000000000024;0010000024;MAT-10318;Porosity area ratio;WC-CAST-03-DIE2;2.2 %;%;true;2026-02-07;1000
00000003-0000-0000-0000-000000000025;0010000025;MAT-10318;Helium leak rate;WC-CAST-03-DIE1;14.2 mbar*l/s;mbar*l/s;false;2026-02-10;1000
00000003-0000-0000-0000-000000000026;0010000026;MAT-10318;Helium leak rate;WC-CAST-03-DIE1;14.2 mbar*l/s;mbar*l/s;false;2026-02-11;1000
00000003-0000-0000-0000-000000000027;0010000027;MAT-10318;Helium leak rate;WC-CAST-03-DIE1;14.2 mbar*l/s;mbar*l/s;false;2026-02-12;1000
00000003-0000-0000-0000-000000000028;0010000028;MAT-10318;Helium leak rate;WC-CAST-03-DIE2;2.1 mbar*l/s;mbar*l/s;true;2026-02-05;1000
00000003-0000-0000-0000-000000000029;0010000029;MAT-10318;Helium leak rate;WC-CAST-03-DIE2;2.1 mbar*l/s;mbar*l/s;true;2026-02-06;1000
00000003-0000-0000-0000-000000000030;0010000030;MAT-10318;Helium leak rate;WC-CAST-03-DIE2;2.1 mbar*l/s;mbar*l/s;true;2026-02-07;1000
00000004-0000-0000-0000-000000000031;0010000031;MAT-10402;Outer diameter;WC-TURN-02-L1;24.912 mm;mm;false;2026-02-10;1000
00000004-0000-0000-0000-000000000032;0010000032;MAT-10402;Outer diameter;WC-TURN-02-L1;24.912 mm;mm;false;2026-02-11;1000
00000004-0000-0000-0000-000000000033;0010000033;MAT-10402;Outer diameter;WC-TURN-02-L1;24.912 mm;mm;false;2026-02-12;1000
00000004-0000-0000-0000-000000000034;0010000034;MAT-10402;Outer diameter;WC-TURN-02-L2;24.985 mm;mm;true;2026-02-05;1000
00000004-0000-0000-0000-000000000035;0010000035;MAT-10402;Outer diameter;WC-TURN-02-L2;24.985 mm;mm;true;2026-02-06;1000
00000004-0000-0000-0000-000000000036;0010000036;MAT-10402;Outer diameter;WC-TURN-02-L2;24.985 mm;mm;true;2026-02-07;1000
00000004-0000-0000-0000-000000000037;0010000037;MAT-10402;Surface roughness Ra;WC-TURN-02-L1;2.2 um;um;false;2026-02-10;1000
00000004-0000-0000-0000-000000000038;0010000038;MAT-10402;Surface roughness Ra;WC-TURN-02-L1;2.2 um;um;false;2026-02-11;1000
00000004-0000-0000-0000-000000000039;0010000039;MAT-10402;Surface roughness Ra;WC-TURN-02-L1;2.2 um;um;false;2026-02-12;1000
00000004-0000-0000-0000-000000000040;0010000040;MAT-10402;Surface roughness Ra;WC-TURN-02-L2;0.6 um;um;true;2026-02-05;1000
00000004-0000-0000-0000-000000000041;0010000041;MAT-10402;Surface roughness Ra;WC-TURN-02-L2;0.6 um;um;true;2026-02-06;1000
00000004-0000-0000-0000-000000000042;0010000042;MAT-10402;Surface roughness Ra;WC-TURN-02-L2;0.6 um;um;true;2026-02-07;1000
00000005-0000-0000-0000-000000000043;0010000043;MAT-10555;Coating thickness;WC-COAT-05-GUN1;38 um;um;false;2026-02-10;1000
00000005-0000-0000-0000-000000000044;0010000044;MAT-10555;Coating thickness;WC-COAT-05-GUN1;38 um;um;false;2026-02-11;1000
00000005-0000-0000-0000-000000000045;0010000045;MAT-10555;Coating thickness;WC-COAT-05-GUN1;38 um;um;false;2026-02-12;1000
00000005-0000-0000-0000-000000000046;0010000046;MAT-10555;Coating thickness;WC-COAT-05-GUN2;75 um;um;true;2026-02-05;1000
00000005-0000-0000-0000-000000000047;0010000047;MAT-10555;Coating thickness;WC-COAT-05-GUN2;75 um;um;true;2026-02-06;1000
00000005-0000-0000-0000-000000000048;0010000048;MAT-10555;Coating thickness;WC-COAT-05-GUN2;75 um;um;true;2026-02-07;1000
00000006-0000-0000-0000-000000000049;0010000049;MAT-10611;Bolt seating torque;WC-ASSY-08-SPINDLE1;18 Nm;Nm;false;2026-02-10;1000
00000006-0000-0000-0000-000000000050;0010000050;MAT-10611;Bolt seating torque;WC-ASSY-08-SPINDLE1;18 Nm;Nm;false;2026-02-11;1000
00000006-0000-0000-0000-000000000051;0010000051;MAT-10611;Bolt seating torque;WC-ASSY-08-SPINDLE1;18 Nm;Nm;false;2026-02-12;1000
00000006-0000-0000-0000-000000000052;0010000052;MAT-10611;Bolt seating torque;WC-ASSY-08-SPINDLE2;36 Nm;Nm;true;2026-02-05;1000
00000006-0000-0000-0000-000000000053;0010000053;MAT-10611;Bolt seating torque;WC-ASSY-08-SPINDLE2;36 Nm;Nm;true;2026-02-06;1000
00000006-0000-0000-0000-000000000054;0010000054;MAT-10611;Bolt seating torque;WC-ASSY-08-SPINDLE2;36 Nm;Nm;true;2026-02-07;1000
00000007-0000-0000-0000-000000000055;0010000055;MAT-10744;Lap shear strength;WC-BOND-02-DISPENSER1;4.1 MPa;MPa;false;2026-02-10;1000
00000007-0000-0000-0000-000000000056;0010000056;MAT-10744;Lap shear strength;WC-BOND-02-DISPENSER1;4.1 MPa;MPa;false;2026-02-11;1000
00000007-0000-0000-0000-000000000057;0010000057;MAT-10744;Lap shear strength;WC-BOND-02-DISPENSER1;4.1 MPa;MPa;false;2026-02-12;1000
00000007-0000-0000-0000-000000000058;0010000058;MAT-10744;Lap shear strength;WC-BOND-02-DISPENSER2;14.5 MPa;MPa;true;2026-02-05;1000
00000007-0000-0000-0000-000000000059;0010000059;MAT-10744;Lap shear strength;WC-BOND-02-DISPENSER2;14.5 MPa;MPa;true;2026-02-06;1000
00000007-0000-0000-0000-000000000060;0010000060;MAT-10744;Lap shear strength;WC-BOND-02-DISPENSER2;14.5 MPa;MPa;true;2026-02-07;1000
00000008-0000-0000-0000-000000000061;0010000061;MAT-10820;Surface roughness Ra;WC-GRIND-04-WHEEL1;2.8 um;um;false;2026-02-10;1000
00000008-0000-0000-0000-000000000062;0010000062;MAT-10820;Surface roughness Ra;WC-GRIND-04-WHEEL1;2.8 um;um;false;2026-02-11;1000
00000008-0000-0000-0000-000000000063;0010000063;MAT-10820;Surface roughness Ra;WC-GRIND-04-WHEEL1;2.8 um;um;false;2026-02-12;1000
00000008-0000-0000-0000-000000000064;0010000064;MAT-10820;Surface roughness Ra;WC-GRIND-04-WHEEL2;0.5 um;um;true;2026-02-05;1000
00000008-0000-0000-0000-000000000065;0010000065;MAT-10820;Surface roughness Ra;WC-GRIND-04-WHEEL2;0.5 um;um;true;2026-02-06;1000
00000008-0000-0000-0000-000000000066;0010000066;MAT-10820;Surface roughness Ra;WC-GRIND-04-WHEEL2;0.5 um;um;true;2026-02-07;1000
00000008-0000-0000-0000-000000000067;0010000067;MAT-10820;Roundness;WC-GRIND-04-WHEEL1;0.014 mm;mm;false;2026-02-10;1000
00000008-0000-0000-0000-000000000068;0010000068;MAT-10820;Roundness;WC-GRIND-04-WHEEL1;0.014 mm;mm;false;2026-02-11;1000
00000008-0000-0000-0000-000000000069;0010000069;MAT-10820;Roundness;WC-GRIND-04-WHEEL1;0.014 mm;mm;false;2026-02-12;1000
00000008-0000-0000-0000-000000000070;0010000070;MAT-10820;Roundness;WC-GRIND-04-WHEEL2;0.003 mm;mm;true;2026-02-05;1000
00000008-0000-0000-0000-000000000071;0010000071;MAT-10820;Roundness;WC-GRIND-04-WHEEL2;0.003 mm;mm;true;2026-02-06;1000
00000008-0000-0000-0000-000000000072;0010000072;MAT-10820;Roundness;WC-GRIND-04-WHEEL2;0.003 mm;mm;true;2026-02-07;1000
00000009-0000-0000-0000-000000000073;0010000073;MAT-10905;Thread depth;WC-MILL-07-TAP1;9.2 mm;mm;false;2026-02-10;1000
00000009-0000-0000-0000-000000000074;0010000074;MAT-10905;Thread depth;WC-MILL-07-TAP1;9.2 mm;mm;false;2026-02-11;1000
00000009-0000-0000-0000-000000000075;0010000075;MAT-10905;Thread depth;WC-MILL-07-TAP1;9.2 mm;mm;false;2026-02-12;1000
00000009-0000-0000-0000-000000000076;0010000076;MAT-10905;Thread depth;WC-MILL-07-TAP2;15.0 mm;mm;true;2026-02-05;1000
00000009-0000-0000-0000-000000000077;0010000077;MAT-10905;Thread depth;WC-MILL-07-TAP2;15.0 mm;mm;true;2026-02-06;1000
