ID;createdAt;createdBy;modifiedAt;modifiedBy;defect_ID;lineNo;characteristic;measuredValue;specLowerLimit;specUpperLimit;specUom;valuation;equipment
00000000-0000-0000-0000-000000010001;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000001;1;Flange burr height;0.32mm;;0.10;mm;Rejected;WC-MILL-07
00000000-0000-0000-0000-000000010002;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000001;2;Flange flatness;0.09mm;0.05;0.05;;Rejected;WC-MILL-07
00000000-0000-0000-0000-000000010003;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000002;1;Ridge height at bore mouth;0.28mm;;0.05;mm;Rejected;WC-BROACH-01
00000000-0000-0000-0000-000000010004;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000002;2;Bore mouth radius;0.02mm;0.20;0.40;mm;Rejected;WC-BROACH-01
00000000-0000-0000-0000-000000010005;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000003;1;Porosity area ratio;3.8%;;1.0;%;Rejected;WC-CAST-03
00000000-0000-0000-0000-000000010006;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000003;2;Helium leak rate;12 mbar*l/s;;5;mbar*l/s;Rejected;WC-CAST-03
00000000-0000-0000-0000-000000010007;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000004;1;Outer diameter;24.912mm;24.950;25.000;mm;Rejected;WC-TURN-02
00000000-0000-0000-0000-000000010008;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000004;2;Surface roughness Ra;1.9um;;1.6;um;Rejected;WC-TURN-02
00000000-0000-0000-0000-000000010009;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000005;1;Coating thickness;38um;60;90;um;Rejected;WC-COAT-05
00000000-0000-0000-0000-000000010010;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000005;2;Cross-cut adhesion;Class 3;0;1;;Rejected;WC-COAT-05
00000000-0000-0000-0000-000000010011;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000006;1;Bolt seating torque;18 Nm;34;38;Nm;Rejected;WC-ASSY-08
00000000-0000-0000-0000-000000010012;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000006;2;End cap gap;0.41mm;;0.10;mm;Rejected;WC-ASSY-08
00000000-0000-0000-0000-000000010013;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000007;1;Lap shear strength;4.1 MPa;12.0;;MPa;Rejected;WC-BOND-02
00000000-0000-0000-0000-000000010014;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000007;2;Bond line thickness;0.22mm;0.15;0.30;mm;Rejected;WC-BOND-02
00000000-0000-0000-0000-000000010015;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000008;1;Surface roughness Ra;2.8um;;0.8;um;Rejected;WC-GRIND-04
00000000-0000-0000-0000-000000010016;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000008;2;Roundness;0.014mm;;0.006;mm;Rejected;WC-GRIND-04
00000000-0000-0000-0000-000000010017;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000009;1;Thread depth;9.2mm;14.0;;mm;Rejected;WC-MILL-07
00000000-0000-0000-0000-000000010018;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000009;2;Thread pitch diameter;10.86mm;10.83;10.92;mm;Rejected;WC-MILL-07
00000000-0000-0000-0000-000000010019;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000010;1;Material hardness;214 HV;;160;HV;Rejected;WC-PRESS-09
00000000-0000-0000-0000-000000010020;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000010;2;Elongation at break;11%;22;;%;Rejected;WC-PRESS-09
00000000-0000-0000-0000-000000010021;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000011;1;Bore true position;0.19mm;;0.08;mm;Rejected;WC-MILL-11
00000000-0000-0000-0000-000000010022;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000011;2;Bore diameter;42.012mm;42.000;42.025;mm;Rejected;WC-MILL-11
00000000-0000-0000-0000-000000010023;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000012;1;Pocket depth;12.84mm;12.95;13.05;mm;Rejected;WC-MILL-07
00000000-0000-0000-0000-000000010024;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000012;2;Pocket depth spread;0.62mm;;0.10;mm;Rejected;WC-MILL-07
00000000-0000-0000-0000-000000010025;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000013;1;Gloss 60 degree;71 GU;82;90;GU;Rejected;WC-PAINT-03
00000000-0000-0000-0000-000000010026;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000013;2;Film build;41um;35;45;um;Rejected;WC-PAINT-03
00000000-0000-0000-0000-000000010027;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000014;1;Surface roughness Ra;2.8um;;0.8;um;Rejected;WC-MILL-07
00000000-0000-0000-0000-000000010028;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000014;2;Drawbar retention force;6.2 kN;10.5;12.0;kN;Rejected;WC-MILL-07
00000000-0000-0000-0000-000000010029;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000015;1;Outer diameter taper;0.028mm;;0.010;mm;Rejected;WC-LATHE-02
00000000-0000-0000-0000-000000010030;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000015;2;Coolant temperature drift;38.5C;20.0;24.0;C;Rejected;WC-LATHE-02
00000000-0000-0000-0000-000000010031;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000016;1;Burr height;0.22mm;;0.08;mm;Rejected;WC-PRESS-04
00000000-0000-0000-0000-000000010032;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000016;2;Punch-to-die cutting clearance;0.28mm (uneven);0.13;0.16999999999999998;mm;Rejected;WC-PRESS-04
00000000-0000-0000-0000-000000010033;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000017;1;Sink mark depth;0.35mm;;0.05;mm;Rejected;WC-MOLD-01
00000000-0000-0000-0000-000000010034;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000017;2;Holding pressure duration;2.5s;5.0;6.0;s;Rejected;WC-MOLD-01
00000000-0000-0000-0000-000000010035;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000018;1;Solder paste volume;165%;80;120;%;Rejected;WC-SMT-02
00000000-0000-0000-0000-000000010036;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000018;2;Stencil nano-coating contact angle;52 deg;95;;deg;Rejected;WC-SMT-02
00000000-0000-0000-0000-000000010037;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000019;1;Tightening torque;3.2 Nm (over-torqued);1.6;2;Nm;Rejected;WC-ASSY-05
00000000-0000-0000-0000-000000010038;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000019;2;Thread engagement depth;stripped;6.0;;mm;Rejected;WC-ASSY-05
00000000-0000-0000-0000-000000010039;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000020;1;Coating thickness;14.2um;12.0;18.0;um;Rejected;WC-ANOD-01
00000000-0000-0000-0000-000000010040;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000020;2;DI rinse water conductivity;34.5 uS/cm;;5.0;uS/cm;Rejected;WC-ANOD-01
00000000-0000-0000-0000-000000010041;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000021;1;Effective case depth (50 HRC);1.15mm;1.80;2.40;mm;Rejected;WC-HEAT-03
00000000-0000-0000-0000-000000010042;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000021;2;Induction coil cooling flow;14 l/min;28;32;l/min;Rejected;WC-HEAT-03
00000000-0000-0000-0000-000000010043;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000022;1;Helium leak rate;8.4 mbar*l/s;;0.5;mbar*l/s;Rejected;WC-WELD-02
00000000-0000-0000-0000-000000010044;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000022;2;Shielding gas nozzle angle;28 deg;12;16;deg;Rejected;WC-WELD-02
00000000-0000-0000-0000-000000010045;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000023;1;Hydraulic pressure decay;1.4 bar / 30s;;0.1;bar / 30s;Rejected;WC-ASSY-08
00000000-0000-0000-0000-000000010046;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000023;2;O-ring Shore hardness;54 Shore A;65;75;Shore A;Rejected;WC-ASSY-08
00000000-0000-0000-0000-000000010047;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000024;1;Barkhausen noise peak;85 mp;;35;mp;Rejected;WC-GRIND-01
00000000-0000-0000-0000-000000010048;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000024;2;Wheel dressing interval count;55 parts;;20;parts;Rejected;WC-GRIND-01
00000000-0000-0000-0000-000000010049;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000025;1;Bolt circle true position;0.085mm (CMM);;0.050;mm;Rejected;WC-QA-01
00000000-0000-0000-0000-000000010050;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;00000000-0000-0000-0000-000000000025;2;CMM probe stylus ruby ball sphericity;chipped 0.035mm flat;;0.002;mm;Rejected;WC-QA-01
