ID;createdAt;createdBy;modifiedAt;modifiedBy;defectId;origin;status;symptomShortText;foundDate;completionDate;defectQuantity;defectQuantityUom;referenceNumber;plant;materialId;materialDesc;materialGroup;batchId;workCenterId;workCenterDesc;defectCodeGroup;defectCode;defectText;defectClass;entryMode;inspectionLotId;reportedBy;coordinator;department;complaintReference;customerPlantContact;slaResponseDue
00000000-0000-0000-0000-000000000001;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10048412;Q3 - Internal Defect;InProcess;Flange edge burr above limit after milling;2026-08-03;;128;PCE;8D-10048412;1000;MAT-10247;Bracket Housing X240;MG-HOUSING;B-49172;WC-MILL-07;CNC Milling Line 7;DEF-GENERIC;DEF-0489;Flange edge burr above limit;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;N/A - internal defect, no customer reference;N/A;N/A
00000000-0000-0000-0000-000000000002;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10048420;Q3 - Internal Defect;Completed;Assembly fitters cut their hands on hub bores;2026-06-28;2026-07-19;74;PCE;8D-10048420;1000;MAT-11500;Sprocket Hub H22;MG-DRIVE;B-49688;WC-BROACH-01;Broaching Line 1;DEF-GENERIC;DEF-1610;Raised metal ridge at bore mouth;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;N/A - internal defect, no customer reference;N/A;N/A
00000000-0000-0000-0000-000000000003;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10048577;Q1 - Customer Complaint;Completed;Coolant leak at sealing surface reported by customer;2026-07-02;2026-07-28;46;PCE;8D-10048577;1000;MAT-10318;Pump Housing P90;MG-HOUSING;B-50231;WC-CAST-03;Aluminium Die Casting Line 3;DEF-GENERIC;DEF-0512;Porosity at sealing flange face;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;CC-2026-0442;Ana Ruiz - Plant 2, Valencia;2026-07-09
00000000-0000-0000-0000-000000000004;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10048603;Q3 - Internal Defect;Completed;Shaft outer diameter below lower tolerance after turning;2026-06-15;2026-07-10;212;PCE;8D-10048603;1000;MAT-10402;Drive Shaft S150;MG-SHAFT;B-51044;WC-TURN-02;CNC Turning Cell 2;DEF-GENERIC;DEF-0377;Shaft diameter below lower tolerance;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;N/A - internal defect, no customer reference;N/A;N/A
00000000-0000-0000-0000-000000000005;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10048651;Q1 - Customer Complaint;InProcess;Coating peel found at customer incoming inspection;2026-08-01;;74;PCE;8D-10048651;1000;MAT-10555;Housing Cover C80;MG-HOUSING;B-51890;WC-COAT-05;Powder Coating Line 5;DEF-GENERIC;DEF-0601;Coating layer peeling;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;CC-2026-0511;Tobias Lang - Plant 4, Ingolstadt;2026-08-08
00000000-0000-0000-0000-000000000006;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10048702;Q3 - Internal Defect;Completed;Loose end cap bolts found at final audit;2026-06-28;2026-07-22;63;PCE;8D-10048702;1000;MAT-10611;Gearbox End Cap G45;MG-GEARBOX;B-52310;WC-ASSY-08;Gearbox Assembly Line 8;DEF-GENERIC;DEF-0723;Bolt torque below specification;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;N/A - internal defect, no customer reference;N/A;N/A
00000000-0000-0000-0000-000000000007;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10048745;Q1 - Customer Complaint;Completed;Sensor mounts detaching in customer assembly;2026-07-14;2026-08-05;310;PCE;8D-10048745;1000;MAT-10744;Sensor Mount Bracket S22;MG-BRACKET;B-52688;WC-BOND-02;Structural Bonding Cell 2;DEF-GENERIC;DEF-0810;Adhesive bond failure;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;CC-2026-0498;Jonas Berg - Plant 7, Gothenburg;2026-07-21
00000000-0000-0000-0000-000000000008;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10048788;Q3 - Internal Defect;InProcess;Chatter marks on rotor shaft ground diameter;2026-08-06;;88;PCE;8D-10048788;1000;MAT-10820;Rotor Shaft R60;MG-SHAFT;B-53001;WC-GRIND-04;Cylindrical Grinding Cell 4;DEF-GENERIC;DEF-0902;Chatter marks on ground surface;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;N/A - internal defect, no customer reference;N/A;N/A
00000000-0000-0000-0000-000000000009;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10048811;Q1 - Customer Complaint;Completed;Fittings bottoming out in customer assembly;2026-06-19;2026-07-30;428;PCE;8D-10048811;1000;MAT-10905;Manifold Block M12;MG-HOUSING;B-53344;WC-MILL-07;CNC Milling Line 7;DEF-GENERIC;DEF-1015;Port thread depth insufficient;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;CC-2026-0455;Priya Nair - Plant 3, Pune;2026-06-26
00000000-0000-0000-0000-000000000010;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10048834;Q3 - Internal Defect;Completed;Cracks at retainer flange radius after forming;2026-07-01;2026-07-18;1;PCE;8D-10048834;1000;MAT-11002;Spring Retainer SR8;MG-SPRING;B-53700;WC-PRESS-09;Progressive Press Line 9;DEF-GENERIC;DEF-1120;Retainer cracking during forming;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;N/A - internal defect, no customer reference;N/A;N/A
00000000-0000-0000-0000-000000000011;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10048857;Q1 - Customer Complaint;InProcess;Bore misalignment reported at customer assembly;2026-08-08;;156;PCE;8D-10048857;1000;MAT-11130;Bearing Cap BC14;MG-HOUSING;B-54012;WC-MILL-11;CNC Milling Line 11;DEF-GENERIC;DEF-1233;Bore position out of true position;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;CC-2026-0521;Hugo Martins - Plant 9, Porto;2026-08-15
00000000-0000-0000-0000-000000000012;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10048880;Q3 - Internal Defect;Completed;Bracket housing pocket depth varying unit to unit;2026-07-19;2026-08-02;97;PCE;8D-10048880;1000;MAT-10247;Bracket Housing X240;MG-HOUSING;B-54390;WC-MILL-07;CNC Milling Line 7;DEF-GENERIC;DEF-1340;Pocket depth inconsistent across units;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;N/A - internal defect, no customer reference;N/A;N/A
00000000-0000-0000-0000-000000000013;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10048903;Q1 - Customer Complaint;InProcess;Gloss level rejected at customer goods receipt;2026-08-04;;204;PCE;8D-10048903;1000;MAT-11388;Trim Panel T18;MG-TRIM;B-54720;WC-PAINT-03;Topcoat Booth 3;DEF-GENERIC;DEF-1455;Paint gloss out of specification;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;CC-2026-0533;Sofia Marino - Plant 5, Turin;2026-08-11
00000000-0000-0000-0000-000000000014;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10049010;Q3 - Internal Defect;Completed;Surface roughness Ra 2.8um exceeding max 0.8um spec on flange face due to chatter;2026-08-01;2026-08-12;85;PCE;8D-10049010;1000;MAT-10247;Bracket Housing X240;MG-HOUSING;B-50341;WC-MILL-07;CNC 5-Axis Milling Center 7;DEF-GENERIC;DEF-0104;Chatter marks and surface waviness on milled flange;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;N/A - Internal Defect;N/A - Internal Defect;N/A - Internal Defect
00000000-0000-0000-0000-000000000015;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10049020;Q1 - Customer Complaint;Completed;Customer assembly line jam due to OD taper exceeding 0.015mm cylindrical tolerance;2026-07-29;2026-08-18;120;PCE;8D-10049020;1000;MAT-10510;Bushing Sleeve B45;MG-BUSHING;B-50388;WC-LATHE-02;CNC Twin-Spindle Lathe 2;DEF-GENERIC;DEF-0220;Outer diameter taper out of tolerance on CNC lathe;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;CC-2026-0611;Jean Dupont - Plant Lyon, Assembly Line 4;2026-08-05
00000000-0000-0000-0000-000000000016;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10049030;Q3 - Internal Defect;Completed;Burr height 0.22mm exceeding max 0.08mm limit on progressive die station 4;2026-08-03;2026-08-14;340;PCE;8D-10049030;1000;MAT-10620;Stamping Bracket SB-12;MG-BRACKET;B-50412;WC-PRESS-04;250T Progressive Stamping Press 4;DEF-GENERIC;DEF-0318;Excessive burr and edge micro-cracks on stamped sheet;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;N/A - Internal Defect;N/A - Internal Defect;N/A - Internal Defect
00000000-0000-0000-0000-000000000017;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10049040;Q1 - Customer Complaint;Completed;Visible sink mark 0.35mm depth on top cosmetic cover rejected by customer inspection;2026-08-04;2026-08-20;210;PCE;8D-10049040;1000;MAT-10730;Electronic Enclosure EE-50;MG-HOUSING;B-50455;WC-MOLD-01;150T Injection Molding Machine 1;DEF-GENERIC;DEF-0440;Sink mark and internal void on cosmetic injection molded surface;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;CC-2026-0719;Marcus Lindqvist - Plant Gothenburg;2026-08-11
00000000-0000-0000-0000-000000000018;2026-03-01T00:00:00Z;seed-script;2026-03-01T00:00:00Z;seed-script;8D-10049050;Q3 - Internal Defect;Completed;Automated Optical Inspection (AOI) detected 18 solder bridges on 0.4mm pitch QFN pins;2026-08-05;2026-08-16;48;PCE;8D-10049050;1000;MAT-10840;Control Board PCBA-900;MG-PCBA;B-50490;WC-SMT-02;SMT Placement & Reflow Line 2;DEF-GENERIC;DEF-0580;Solder bridging short circuit on fine-pitch QFN package;Major;during-inspection;;Quality Inspector;Quality Engineer;Quality Assurance;N/A - Internal Defect;N/A - Internal Defect;N/A - Internal Defect
